Apple,Bagel,Banana,Croissant,Orange
0.313825965,0.50344032,0.524444878,0.422597915,0.638211966
0.398045778,0.71628511,0.347560763,0.477510422,0.803580046
0.489715308,0.736404777,0.362481296,0.501051366,0.71709311
0.480037779,0.720916808,0.329441845,0.480031967,0.670301676
0.470419556,0.789160728,0.405839384,0.470712095,0.805627525
0.409130365,0.697838008,0.588988841,0.506452203,0.856971383
0.505703926,0.745484829,0.452616066,0.455098331,0.857213855
0.533472061,0.745368004,0.580491066,0.446212381,0.861949146
0.596387267,0.805048943,0.588502526,0.438534647,0.865869582
0.680695832,0.791823804,0.496636152,0.448381007,0.877592683
0.687419116,0.76827383,0.568294704,0.440155238,0.871266007
0.630793631,0.778968513,0.643238246,0.461198807,0.872061551
0.681756854,0.752580583,0.671129167,0.480714858,0.86240387
0.577476323,0.723228753,0.645697296,0.533911109,0.87473613
0.520584464,0.733255565,0.654499114,0.609326065,0.875854671
0.534744501,0.742957592,0.65203923,0.54407227,0.861625195
0.565696001,0.769640744,0.608531058,0.57532835,0.87230438
0.539844751,0.753746986,0.635096967,0.588486433,0.859113216
0.632513463,0.75346756,0.66071564,0.593771636,0.829866648
0.661326289,0.774845898,0.664046884,0.538938642,0.827180505
0.687680662,0.764840364,0.644426107,0.568502843,0.842666805
0.727354109,0.767297447,0.621319413,0.568221748,0.854266942
0.70763135,0.779743075,0.672464073,0.577306688,0.826517403
0.697844744,0.7546525,0.580878735,0.530030847,0.83339113
0.64843756,0.770567596,0.615260005,0.54391253,0.817134202
0.672410309,0.770118296,0.635430217,0.523573697,0.857362807
0.632085323,0.75444293,0.606599748,0.493295997,0.84145689
0.677114606,0.757681727,0.600416839,0.58097595,0.847258031
0.690298378,0.75190717,0.641178489,0.600475192,0.85522145
0.665417731,0.736216545,0.605955064,0.550279319,0.857837379
0.615291476,0.730938494,0.601709425,0.596846879,0.85811466
0.637307763,0.710437477,0.633638263,0.58752197,0.83605361
0.665315211,0.710366905,0.636118174,0.590861917,0.864024758
0.571531057,0.693361998,0.597801924,0.553319991,0.880747795
0.322308242,0.728141606,0.593387723,0.549276352,0.843850315
0.419873714,,0.477382958,0.529584944,0.610995948
,,,0.548863351,
,,,0.550141096,
,,,0.578851044,
,,,0.584448576,
,,,0.56109482,
,,,0.577745974,
